
{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(301.9941866238517), 'apogee_time': np.float64(23.51137265358679), 'apogee_altitude': np.float64(3046.081426507099), 'apogee_x': np.float64(-49.77263081962216), 'apogee_y': np.float64(16.815643385988245), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4125869276817495), 'out_of_rail_static_margin': np.float64(1.4510754456695538), 'out_of_rail_stability_margin': np.float64(1.4541039982149677), 'execution_time': 4.625}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(301.98374263443696), 'apogee_time': np.float64(23.51211528674028), 'apogee_altitude': np.float64(3046.2014719617314), 'apogee_x': np.float64(-52.99633245411366), 'apogee_y': np.float64(16.893394692339676), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4541428187266878), 'out_of_rail_static_margin': np.float64(1.4934726877220752), 'out_of_rail_stability_margin': np.float64(1.496501240804612), 'execution_time': 4.734375}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(302.0487911925818), 'apogee_time': np.float64(23.513295018316608), 'apogee_altitude': np.float64(3046.288778675584), 'apogee_x': np.float64(-57.208085076305615), 'apogee_y': np.float64(16.994810291541313), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5108158176856896), 'out_of_rail_static_margin': np.float64(1.5512931024524217), 'out_of_rail_stability_margin': np.float64(1.5543216562674689), 'execution_time': 4.890625}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(302.02145253302143), 'apogee_time': np.float64(23.513623552363942), 'apogee_altitude': np.float64(3046.4955680397575), 'apogee_x': np.float64(-56.730742921791965), 'apogee_y': np.float64(16.983159273359746), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5027766443016424), 'out_of_rail_static_margin': np.float64(1.5430911659448592), 'out_of_rail_stability_margin': np.float64(1.5461197196559981), 'execution_time': 4.828125}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(302.04143172665107), 'apogee_time': np.float64(23.51279709169207), 'apogee_altitude': np.float64(3046.402924927433), 'apogee_x': np.float64(-53.343882696889715), 'apogee_y': np.float64(16.900486277698516), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4578438792007147), 'out_of_rail_static_margin': np.float64(1.4972486807960446), 'out_of_rail_stability_margin': np.float64(1.5002772339264159), 'execution_time': 4.765625}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(302.00783614281374), 'apogee_time': np.float64(23.51278349199866), 'apogee_altitude': np.float64(3046.112073678363), 'apogee_x': np.float64(-60.06299040313389), 'apogee_y': np.float64(17.063411708892975), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5484162725398034), 'out_of_rail_static_margin': np.float64(1.5896548255595275), 'out_of_rail_stability_margin': np.float64(1.5926833798605715), 'execution_time': 5.21875}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(301.9995422879818), 'apogee_time': np.float64(23.513200646720417), 'apogee_altitude': np.float64(3046.3445542662653), 'apogee_x': np.float64(-53.377998633154355), 'apogee_y': np.float64(16.902036032627162), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4583344181612083), 'out_of_rail_static_margin': np.float64(1.4977491513315433), 'out_of_rail_stability_margin': np.float64(1.5007777044682562), 'execution_time': 5.0}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(302.0277106526468), 'apogee_time': np.float64(23.513690949931874), 'apogee_altitude': np.float64(3046.251732405011), 'apogee_x': np.float64(-59.829283741804836), 'apogee_y': np.float64(17.058474391890623), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.545580661717651), 'out_of_rail_static_margin': np.float64(1.5867618042484564), 'out_of_rail_stability_margin': np.float64(1.589790358512847), 'execution_time': 5.0625}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(302.054063374052), 'apogee_time': np.float64(23.51564194761613), 'apogee_altitude': np.float64(3046.6684222732215), 'apogee_x': np.float64(-61.93603327018552), 'apogee_y': np.float64(17.110952596629144), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5751559463976386), 'out_of_rail_static_margin': np.float64(1.6169358775704255), 'out_of_rail_stability_margin': np.float64(1.6199644322170854), 'execution_time': 5.015625}

{'out_of_rail_time': 0.3533516932731984, 'out_of_rail_velocity': np.float64(33.57953234643141), 'max_velocity': np.float64(302.01790250203453), 'apogee_time': np.float64(23.512979277728753), 'apogee_altitude': np.float64(3046.2175167224955), 'apogee_x': np.float64(-57.67351676599265), 'apogee_y': np.float64(17.00507578365797), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.515696698674289), 'out_of_rail_static_margin': np.float64(1.5562728029834374), 'out_of_rail_stability_margin': np.float64(1.5593013568615703), 'execution_time': 5.265625}
Completed 1 iterations successfully. Total CPU time: 0.09375 s. Total wall time: 9.759214162826538 s
