
{'out_of_rail_time': 0.3530851637664497, 'out_of_rail_velocity': np.float64(33.60987627053455), 'max_velocity': np.float64(302.951141492557), 'apogee_time': np.float64(23.44448250983887), 'apogee_altitude': np.float64(3017.884573144726), 'apogee_x': np.float64(643.4049811059409), 'apogee_y': np.float64(-370.82712868549294), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5391517512597146), 'out_of_rail_static_margin': np.float64(1.5792617928999182), 'out_of_rail_stability_margin': np.float64(1.5823052711992562), 'execution_time': 4.671875}

{'out_of_rail_time': 0.3535030791911729, 'out_of_rail_velocity': np.float64(33.56468942640949), 'max_velocity': np.float64(302.17546114603147), 'apogee_time': np.float64(23.412064281788037), 'apogee_altitude': np.float64(3008.097722108648), 'apogee_x': np.float64(641.9533121458846), 'apogee_y': np.float64(-352.53369845470326), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5672343152294002), 'out_of_rail_static_margin': np.float64(1.6082511177882515), 'out_of_rail_stability_margin': np.float64(1.6112654766302363), 'execution_time': 4.625}

{'out_of_rail_time': 0.3535170076967624, 'out_of_rail_velocity': np.float64(33.556972953982594), 'max_velocity': np.float64(301.2312039193833), 'apogee_time': np.float64(23.183283385100424), 'apogee_altitude': np.float64(2956.57527059805), 'apogee_x': np.float64(709.9433094938504), 'apogee_y': np.float64(-304.7548208238234), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5332580828789268), 'out_of_rail_static_margin': np.float64(1.5737523379185339), 'out_of_rail_stability_margin': np.float64(1.576871776300773), 'execution_time': 4.734375}

{'out_of_rail_time': 0.35397141138070104, 'out_of_rail_velocity': np.float64(33.49797198207518), 'max_velocity': np.float64(300.929156061292), 'apogee_time': np.float64(23.205321448596347), 'apogee_altitude': np.float64(2960.045666052272), 'apogee_x': np.float64(635.1003093928724), 'apogee_y': np.float64(-372.07020210836237), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4858367005614774), 'out_of_rail_static_margin': np.float64(1.526342404532137), 'out_of_rail_stability_margin': np.float64(1.5294549616002664), 'execution_time': 4.515625}

{'out_of_rail_time': 0.35395315425841234, 'out_of_rail_velocity': np.float64(33.508527161832255), 'max_velocity': np.float64(301.49644494064046), 'apogee_time': np.float64(23.371182837829412), 'apogee_altitude': np.float64(2998.423298495552), 'apogee_x': np.float64(538.196004943349), 'apogee_y': np.float64(-391.1507369724201), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5367932113810432), 'out_of_rail_static_margin': np.float64(1.5778397137874802), 'out_of_rail_stability_margin': np.float64(1.5808863605856127), 'execution_time': 4.75}

{'out_of_rail_time': 0.3526163835785161, 'out_of_rail_velocity': np.float64(33.673950325477044), 'max_velocity': np.float64(303.77296358911644), 'apogee_time': np.float64(23.464173326883483), 'apogee_altitude': np.float64(3026.0149216609348), 'apogee_x': np.float64(623.2621677345895), 'apogee_y': np.float64(-353.5016291614727), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.4346904435630938), 'out_of_rail_static_margin': np.float64(1.473060055566609), 'out_of_rail_stability_margin': np.float64(1.476112621315754), 'execution_time': 5.1875}

{'out_of_rail_time': 0.3537986419200059, 'out_of_rail_velocity': np.float64(33.53580861201764), 'max_velocity': np.float64(301.56698551589835), 'apogee_time': np.float64(23.375547180913287), 'apogee_altitude': np.float64(3000.36214164922), 'apogee_x': np.float64(487.63953475272905), 'apogee_y': np.float64(-370.68772373370047), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5050550094742712), 'out_of_rail_static_margin': np.float64(1.5456399587457024), 'out_of_rail_stability_margin': np.float64(1.5487306358421893), 'execution_time': 4.90625}

{'out_of_rail_time': 0.3533801668068127, 'out_of_rail_velocity': np.float64(33.576060644891776), 'max_velocity': np.float64(303.37135638066377), 'apogee_time': np.float64(23.60121128878755), 'apogee_altitude': np.float64(3051.990243072302), 'apogee_x': np.float64(573.3460444362752), 'apogee_y': np.float64(-376.8934480155397), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.48563690177187), 'out_of_rail_static_margin': np.float64(1.5256537469736042), 'out_of_rail_stability_margin': np.float64(1.5286311417295826), 'execution_time': 5.015625}

{'out_of_rail_time': 0.35438816366091863, 'out_of_rail_velocity': np.float64(33.459539184506966), 'max_velocity': np.float64(300.66752111944834), 'apogee_time': np.float64(23.28096194337064), 'apogee_altitude': np.float64(2974.3829730641023), 'apogee_x': np.float64(613.7047019089214), 'apogee_y': np.float64(-372.0384585930642), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.48266658359028), 'out_of_rail_static_margin': np.float64(1.523061541183463), 'out_of_rail_stability_margin': np.float64(1.526137311770577), 'execution_time': 5.328125}

{'out_of_rail_time': 0.3530682932858312, 'out_of_rail_velocity': np.float64(33.6223232487619), 'max_velocity': np.float64(304.36637849592296), 'apogee_time': np.float64(23.535858386065676), 'apogee_altitude': np.float64(3043.403826796591), 'apogee_x': np.float64(643.6260632019777), 'apogee_y': np.float64(-334.9641659427473), 'impact_x': 0, 'impact_y': 0, 'initial_static_margin': np.float64(1.5598073413463962), 'out_of_rail_static_margin': np.float64(1.602032635870436), 'out_of_rail_stability_margin': np.float64(1.6050525843539076), 'execution_time': 6.0}
Completed 1 iterations successfully. Total CPU time: 0.09375 s. Total wall time: 10.500270128250122 s
