
{'rocket_mass': 16.401792685502766, 'rocket_inertia_11': 0.9105228673390172, 'rocket_inertia_33': 0.016420430409344475, 'motor_dry_mass': 1.9094036760273327, 'motor_inertia_11': -0.03024194988792758, 'motor_inertia_33': 0.13627340738525726, 'motor_dry_mass_position': 0.5771934098906059, 'impulse': 9203.057332274024, 'motor_position': 2.517917450754698, 'burn_time': 2.938243201158536, 'nozzle_radius': 0.024300564141847055, 'throat_radius': 0.007655160167589897, 'grain_separation': 0.001220198530828777, 'grain_density': 415.8752469550493, 'grain_outer_radius': 0.03311040253374932, 'grain_initial_inner_radius': 0.010898942577569794, 'grain_initial_height': 0.1324340630308279, 'radius': 0.07762722802522982, 'nozzle_position': -1.0527054219743528, 'grains_center_of_mass_position': -3.0939007960534988, 'power_off_drag': 1.1248101213949007, 'power_on_drag': 1.064489873564999, 'nose_distance_to_CM': 1.1250448660463328, 'inclination': 86.82380129692781, 'heading': 89.70688380779445, 'cd_s_drogue': 0.28982197411401667, 'cd_s_light': 16.07225922508729, 'lag_rec': 0.14607218559082674, 'lag_se': 0.0056625444848726544, 'temperature': 301.37238255584936, 'atmosphere_pressure': 85026.6081185041, 'rocket_CM': 1.9352253032937428, 'fin_position': 2.59}

{'rocket_mass': 16.40186748119081, 'rocket_inertia_11': 0.8461040764843434, 'rocket_inertia_33': 0.016410793420396225, 'motor_dry_mass': 1.9098491650140066, 'motor_inertia_11': -0.006490184053562331, 'motor_inertia_33': 0.13627139342631647, 'motor_dry_mass_position': 0.579101114729063, 'impulse': 9220.308101522427, 'motor_position': 2.5023387182414925, 'burn_time': 2.728430292190832, 'nozzle_radius': 0.023768364276358353, 'throat_radius': 0.008348906871054601, 'grain_separation': 0.0004919675316470236, 'grain_density': 440.3817901447661, 'grain_outer_radius': 0.03283003307533452, 'grain_initial_inner_radius': 0.011222707359934673, 'grain_initial_height': 0.1327299926557214, 'radius': 0.07834961313480052, 'nozzle_position': -1.0529065075501862, 'grains_center_of_mass_position': -3.093946055967212, 'power_off_drag': 0.9835821296129471, 'power_on_drag': 1.0485431444538047, 'nose_distance_to_CM': 1.1253711130869717, 'inclination': 87.14501213185217, 'heading': 87.19850307976326, 'cd_s_drogue': 0.25465038172834786, 'cd_s_light': 16.073745866061188, 'lag_rec': 0.07634131755428057, 'lag_se': 0.061342389300988356, 'temperature': 297.42354581986024, 'atmosphere_pressure': 85099.58541554521, 'rocket_CM': 1.9271619981091614, 'fin_position': 2.59}

{'rocket_mass': 16.400347638757673, 'rocket_inertia_11': 0.9259223991198628, 'rocket_inertia_33': 0.016408132217898552, 'motor_dry_mass': 1.9089919238711737, 'motor_inertia_11': 0.0014668299719964835, 'motor_inertia_33': 0.13627468355916172, 'motor_dry_mass_position': 0.5800084700464337, 'impulse': 9219.333345006005, 'motor_position': 2.511367110721364, 'burn_time': 2.5213922966922895, 'nozzle_radius': 0.023285535731692453, 'throat_radius': 0.007719138248588337, 'grain_separation': 0.0009601434067747008, 'grain_density': 432.4543047632288, 'grain_outer_radius': 0.03297503857335431, 'grain_initial_inner_radius': 0.011254960055334152, 'grain_initial_height': 0.13352697829763724, 'radius': 0.07752963395218519, 'nozzle_position': -1.0527354792848904, 'grains_center_of_mass_position': -3.0936005390408567, 'power_off_drag': 0.9969924432319732, 'power_on_drag': 0.977714697800336, 'nose_distance_to_CM': 1.1241025486503085, 'inclination': 88.79658484385509, 'heading': 90.84024424373123, 'cd_s_drogue': 0.24986788007863753, 'cd_s_light': 16.08609280375532, 'lag_rec': 0.23882397733738092, 'lag_se': 0.07985933932987281, 'temperature': 298.98111847031066, 'atmosphere_pressure': 85350.63850475807, 'rocket_CM': 1.9621895108929102, 'fin_position': 2.59}

{'rocket_mass': 16.401849050928536, 'rocket_inertia_11': 0.8975286273652809, 'rocket_inertia_33': 0.01642314200294682, 'motor_dry_mass': 1.910858991028888, 'motor_inertia_11': -0.022000019088042437, 'motor_inertia_33': 0.13626799357591385, 'motor_dry_mass_position': 0.5769963150260801, 'impulse': 9212.84507503025, 'motor_position': 2.5187829350975615, 'burn_time': 2.0315454013591343, 'nozzle_radius': 0.023375053934412672, 'throat_radius': 0.007982527240132833, 'grain_separation': 0.0005380344008788794, 'grain_density': 437.59580668032874, 'grain_outer_radius': 0.03299565350066792, 'grain_initial_inner_radius': 0.010875492350285523, 'grain_initial_height': 0.13261150675275857, 'radius': 0.07652360467117868, 'nozzle_position': -1.0528531028036123, 'grains_center_of_mass_position': -3.0937566492081694, 'power_off_drag': 0.9500777928788631, 'power_on_drag': 0.9352960781262671, 'nose_distance_to_CM': 1.124746419831107, 'inclination': 88.1990956436305, 'heading': 89.39958761695294, 'cd_s_drogue': 0.310809585535388, 'cd_s_light': 16.06194387595649, 'lag_rec': 0.16271453296532012, 'lag_se': 0.09361658320520114, 'temperature': 297.274178053142, 'atmosphere_pressure': 85600.66386868009, 'rocket_CM': 1.9396242340184993, 'fin_position': 2.59}

{'rocket_mass': 16.399883400290786, 'rocket_inertia_11': 0.8774789124477561, 'rocket_inertia_33': 0.016403651379640633, 'motor_dry_mass': 1.9122054641919717, 'motor_inertia_11': -0.014935871725952224, 'motor_inertia_33': 0.1362715403575463, 'motor_dry_mass_position': 0.5805130712216232, 'impulse': 9187.324719610233, 'motor_position': 2.513595359688405, 'burn_time': 2.6241664406999674, 'nozzle_radius': 0.023181016905812632, 'throat_radius': 0.009210701352685402, 'grain_separation': 0.00031528581187554536, 'grain_density': 438.1770023619703, 'grain_outer_radius': 0.032772761025018964, 'grain_initial_inner_radius': 0.010891230430863376, 'grain_initial_height': 0.13075663951987226, 'radius': 0.07862697644697365, 'nozzle_position': -1.055041427136707, 'grains_center_of_mass_position': -3.093805611141377, 'power_off_drag': 1.022238401566594, 'power_on_drag': 1.0198065434431514, 'nose_distance_to_CM': 1.122085126868391, 'inclination': 89.4556474940566, 'heading': 90.71822405571194, 'cd_s_drogue': 0.23227491563332342, 'cd_s_light': 16.106721975894, 'lag_rec': 0.22990619608880875, 'lag_se': 0.031140976171504103, 'temperature': 298.13722514576295, 'atmosphere_pressure': 85779.69078243242, 'rocket_CM': 1.9299275984829627, 'fin_position': 2.59}

{'rocket_mass': 16.400457001759612, 'rocket_inertia_11': 0.8940672268638666, 'rocket_inertia_33': 0.01641529375411171, 'motor_dry_mass': 1.9089719167318588, 'motor_inertia_11': 0.028929378784208933, 'motor_inertia_33': 0.13627514105490074, 'motor_dry_mass_position': 0.5785629823419414, 'impulse': 9184.830261872112, 'motor_position': 2.531716686168439, 'burn_time': 2.261119333447104, 'nozzle_radius': 0.022895127407117234, 'throat_radius': 0.00904349350231306, 'grain_separation': 0.00038934861984520937, 'grain_density': 412.51921455097335, 'grain_outer_radius': 0.0324582191554339, 'grain_initial_inner_radius': 0.01123057587403522, 'grain_initial_height': 0.13116711344124016, 'radius': 0.07785832860353263, 'nozzle_position': -1.05294565145739, 'grains_center_of_mass_position': -3.0937189991370637, 'power_off_drag': 1.095488755206742, 'power_on_drag': 1.061028894190369, 'nose_distance_to_CM': 1.1230241872763442, 'inclination': 88.91409342775762, 'heading': 92.65862704877455, 'cd_s_drogue': 0.29943555120344667, 'cd_s_light': 16.055907932205592, 'lag_rec': 0.37217794842230023, 'lag_se': 0.07462064499834943, 'temperature': 304.9967703032316, 'atmosphere_pressure': 85322.89824523838, 'rocket_CM': 1.942122641777655, 'fin_position': 2.59}
