
{'out_of_rail_time': 0.2288345914388317, 'out_of_rail_velocity': 46.02483917511476, 'max_velocity': 336.09281708125775, 'apogee_time': 21.139577856597274, 'apogee_altitude': 2800.4263660047377, 'apogee_x': -103.86712224031612, 'apogee_y': -77.74394464529568, 'impact_time': 206.16930847258817, 'impact_x': 274.03345294672465, 'impact_y': 255.02958255974454, 'impact_velocity': -4.178392920370436, 'initial_static_margin': 1.6129090292684345, 'out_of_rail_static_margin': 1.6496407212098687, 'out_of_rail_stability_margin': 1.6554472304394336, 'final_static_margin': 1.9635079918843465, 'number_of_events': 2, 'execution_time': 8.21875, 'drogue_triggerTime': 21.14, 'drogue_inflated_time': 21.14, 'drogue_inflated_velocity': 3.3178712891147644}
{'out_of_rail_time': 0.2079874400092676, 'out_of_rail_velocity': 50.72037381585892, 'max_velocity': 343.2945551337239, 'apogee_time': 20.130485905332172, 'apogee_altitude': 2620.184461071199, 'apogee_x': 48.96218327530539, 'apogee_y': -99.23128376955519, 'impact_time': 213.4822825967237, 'impact_x': 711.0376968748683, 'impact_y': 486.12103162287474, 'impact_velocity': -3.974284091389878, 'initial_static_margin': 1.5711291432192058, 'out_of_rail_static_margin': 1.6102550654514471, 'out_of_rail_stability_margin': 1.6169924045356256, 'final_static_margin': 1.9111635963881206, 'number_of_events': 2, 'execution_time': 5.078125, 'drogue_triggerTime': 20.14, 'drogue_inflated_time': 20.14, 'drogue_inflated_velocity': 3.5695033458216012}
{'out_of_rail_time': 0.22319321548670346, 'out_of_rail_velocity': 47.27268775456915, 'max_velocity': 337.5467154212383, 'apogee_time': 20.664300247876845, 'apogee_altitude': 2716.344996604105, 'apogee_x': 174.837837802379, 'apogee_y': -16.651181308003288, 'impact_time': 204.8772755092569, 'impact_x': 888.4495012241018, 'impact_y': 109.74425908601049, 'impact_velocity': -4.079635255598021, 'initial_static_margin': 1.5467159326743898, 'out_of_rail_static_margin': 1.5846158574968139, 'out_of_rail_stability_margin': 1.590556476303734, 'final_static_margin': 1.9005973781100642, 'number_of_events': 2, 'execution_time': 6.578125, 'drogue_triggerTime': 20.67, 'drogue_inflated_time': 20.67, 'drogue_inflated_velocity': 6.977226799179474}
{'out_of_rail_time': 0.22892982025818742, 'out_of_rail_velocity': 46.06052162638757, 'max_velocity': 338.98806711918877, 'apogee_time': 21.183683329094524, 'apogee_altitude': 2822.7379387714923, 'apogee_x': 25.62730604842997, 'apogee_y': -73.97118144360354, 'impact_time': 211.65830479428593, 'impact_x': 388.04073394056934, 'impact_y': 219.34035983152017, 'impact_velocity': -4.109998751181638, 'initial_static_margin': 1.6506421869728132, 'out_of_rail_static_margin': 1.6907854388544765, 'out_of_rail_stability_margin': 1.6960550171945021, 'final_static_margin': 2.0329554623259316, 'number_of_events': 2, 'execution_time': 6.359375, 'drogue_triggerTime': 21.19, 'drogue_inflated_time': 21.19, 'drogue_inflated_velocity': 2.366589954854662}
{'out_of_rail_time': 0.21711270762896573, 'out_of_rail_velocity': 48.543804835016616, 'max_velocity': 350.61619109640276, 'apogee_time': 21.60925906650941, 'apogee_altitude': 2941.882751347752, 'apogee_x': 42.39142393585419, 'apogee_y': -21.688822842899793, 'impact_time': 204.58408397891913, 'impact_x': 348.7174704041506, 'impact_y': 76.27356725298216, 'impact_velocity': -4.260572158190026, 'initial_static_margin': 1.6923732339778006, 'out_of_rail_static_margin': 1.7301760034764682, 'out_of_rail_stability_margin': 1.735688781150169, 'final_static_margin': 2.034907625448414, 'number_of_events': 2, 'execution_time': 6.15625, 'drogue_triggerTime': 21.61, 'drogue_inflated_time': 21.61, 'drogue_inflated_velocity': 1.9504906328520326}

{'out_of_rail_time': 0.227411390343502, 'out_of_rail_velocity': 46.32946987361293, 'max_velocity': 342.7420514172934, 'apogee_time': 21.355189135985754, 'apogee_altitude': 2869.486348959072, 'apogee_x': -52.97338895223671, 'apogee_y': -54.458225630337935, 'impact_time': 211.8981189555084, 'impact_x': 440.08174968053453, 'impact_y': 161.90648817290287, 'impact_velocity': -4.152608710512757, 'initial_static_margin': 1.6559878639812333, 'out_of_rail_static_margin': 1.6949220277484336, 'out_of_rail_stability_margin': 1.7000422588084942, 'final_static_margin': 2.0251421638041522, 'number_of_events': 2, 'execution_time': 7.53125, 'drogue_triggerTime': 21.36, 'drogue_inflated_time': 21.36, 'drogue_inflated_velocity': 1.6100780930512777}
{'out_of_rail_time': 0.22514236066710736, 'out_of_rail_velocity': 46.874410865662036, 'max_velocity': 340.29217334992893, 'apogee_time': 21.25980573251982, 'apogee_altitude': 2838.293981726463, 'apogee_x': 30.792526901828897, 'apogee_y': -22.16347759257257, 'impact_time': 205.6384892638226, 'impact_x': 308.6915906168472, 'impact_y': 79.40498607680217, 'impact_velocity': -4.200265798303501, 'initial_static_margin': 1.6184778483993885, 'out_of_rail_static_margin': 1.657720543032488, 'out_of_rail_stability_margin': 1.6634879427753169, 'final_static_margin': 1.986442226427313, 'number_of_events': 2, 'execution_time': 5.59375, 'drogue_triggerTime': 21.26, 'drogue_inflated_time': 21.26, 'drogue_inflated_velocity': 1.5702129930510123}
{'out_of_rail_time': 0.21142329059274917, 'out_of_rail_velocity': 49.92664637293861, 'max_velocity': 330.6833666752629, 'apogee_time': 19.54798420005274, 'apogee_altitude': 2469.0178468685526, 'apogee_x': 30.933315981106105, 'apogee_y': -87.31681068941464, 'impact_time': 209.8379261972612, 'impact_x': 554.5253738486408, 'impact_y': 434.07144077909425, 'impact_velocity': -3.7724946016232397, 'initial_static_margin': 1.695504735479833, 'out_of_rail_static_margin': 1.7342340894705213, 'out_of_rail_stability_margin': 1.741991270524843, 'final_static_margin': 2.039022393568822, 'number_of_events': 2, 'execution_time': 6.828125, 'drogue_triggerTime': 19.55, 'drogue_inflated_time': 19.55, 'drogue_inflated_velocity': 2.8261456851594318}
{'out_of_rail_time': 0.2036309883417488, 'out_of_rail_velocity': 51.82790619730663, 'max_velocity': 345.09349918627174, 'apogee_time': 20.235951689908127, 'apogee_altitude': 2631.3888427800025, 'apogee_x': 195.3927409548256, 'apogee_y': -133.42141835984518, 'impact_time': 211.51392008505354, 'impact_x': 802.7053766288724, 'impact_y': 586.8093684296471, 'impact_velocity': -3.948479100404568, 'initial_static_margin': 1.6960493895718272, 'out_of_rail_static_margin': 1.7380765069772734, 'out_of_rail_stability_margin': 1.7454944338172882, 'final_static_margin': 2.0562614513359816, 'number_of_events': 2, 'execution_time': 7.34375, 'drogue_triggerTime': 20.240000000000002, 'drogue_inflated_time': 20.240000000000002, 'drogue_inflated_velocity': 8.204908590693629}
{'out_of_rail_time': 0.21441132029741, 'out_of_rail_velocity': 49.21010894561128, 'max_velocity': 348.66422450228725, 'apogee_time': 21.167158076013756, 'apogee_altitude': 2837.5539892670317, 'apogee_x': 212.23373759748668, 'apogee_y': -99.8626560461347, 'impact_time': 209.0361332024272, 'impact_x': 275.1576641544199, 'impact_y': 327.4707224472677, 'impact_velocity': -4.163596293953647, 'initial_static_margin': 1.6526916142764179, 'out_of_rail_static_margin': 1.693502676449077, 'out_of_rail_stability_margin': 1.6993798644835652, 'final_static_margin': 2.018898034279875, 'number_of_events': 2, 'execution_time': 6.6875, 'drogue_triggerTime': 21.17, 'drogue_inflated_time': 21.17, 'drogue_inflated_velocity': 7.386575317029372}

