
{'rocket_mass': 16.39843682315349, 'rocket_inertia_11': 0.8161176254237904, 'rocket_inertia_33': 0.01641094152887374, 'motor_dry_mass': 4.335310693228597, 'motor_inertia_11': -0.029475130917907544, 'motor_inertia_33': 0.21165207767992908, 'motor_dry_mass_position': 0.5307744740376064, 'impulse': 9241.739398114803, 'burn_time': 2.3385791840883297, 'nozzle_radius': 0.040292649985902144, 'throat_radius': 0.014621348304600785, 'grain_separation': -0.0015218437815489514, 'grain_density': 1539.004711703566, 'grain_outer_radius': 0.04080528476169689, 'grain_initial_inner_radius': 0.022096744717655, 'grain_initial_height': 0.1535517601447344, 'radius': 0.07742656337016018, 'nozzle_position': -1.109521783418747, 'grains_center_of_mass_position': -3.070274701884186, 'power_off_drag': 1.0003610328127794, 'power_on_drag': 1.0680997768153744, 'nose_distance_to_CM': 1.1966187065752487, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.99786610116377, 'heading': 90.21999559172032, 'cd_s_drogue': 0.3177309374409391, 'cd_s_light': 16.051788984030654, 'lag_rec': 0.1985864983689593, 'lag_se': 0.10505732075241213, 'temperature': 301.99333002589105, 'atmosphere_pressure': 85866.48899367564, 'wind_u_speed': 0.4561661491946531, 'wind_v_speed': -4.040181162660047}

{'rocket_mass': 16.39981899553765, 'rocket_inertia_11': 0.8282724421203678, 'rocket_inertia_33': 0.01642138153862045, 'motor_dry_mass': 4.336367877383462, 'motor_inertia_11': -0.0017947293737074362, 'motor_inertia_33': 0.211676736434496, 'motor_dry_mass_position': 0.5297303454609601, 'impulse': 9199.777477886857, 'burn_time': 1.610591199473725, 'nozzle_radius': 0.03993292892989245, 'throat_radius': 0.014491597148552984, 'grain_separation': -0.0003378474842016695, 'grain_density': 1510.3241012230567, 'grain_outer_radius': 0.04144438067901795, 'grain_initial_inner_radius': 0.0216006956419724, 'grain_initial_height': 0.15208606899093294, 'radius': 0.07997074730893701, 'nozzle_position': -1.1091728551664437, 'grains_center_of_mass_position': -3.07033164437756, 'power_off_drag': 0.9893169793702569, 'power_on_drag': 1.0864366792453557, 'nose_distance_to_CM': 1.1976234162494745, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 86.38395728287288, 'heading': 92.97447326078553, 'cd_s_drogue': 0.24838757411723367, 'cd_s_light': 16.072898073198527, 'lag_rec': 0.07845235363698323, 'lag_se': 0.025761027753456414, 'temperature': 303.89515439495636, 'atmosphere_pressure': 85994.42806708423, 'wind_u_speed': 0.41578258001712365, 'wind_v_speed': -4.678526628163272}

{'rocket_mass': 16.40016250393529, 'rocket_inertia_11': 0.7717383004913078, 'rocket_inertia_33': 0.016400605006509573, 'motor_dry_mass': 4.336846488564238, 'motor_inertia_11': 0.0038273371747422624, 'motor_inertia_33': 0.21167113015214595, 'motor_dry_mass_position': 0.5301947386597975, 'impulse': 9192.746592615964, 'burn_time': 2.559680399823328, 'nozzle_radius': 0.03899719807167455, 'throat_radius': 0.014531542817808033, 'grain_separation': -0.0004490597182032575, 'grain_density': 1508.0006123873154, 'grain_outer_radius': 0.04120310220319751, 'grain_initial_inner_radius': 0.022039684736803247, 'grain_initial_height': 0.15331984618990308, 'radius': 0.0781960177900837, 'nozzle_position': -1.1079263020635308, 'grains_center_of_mass_position': -3.0701274748580856, 'power_off_drag': 1.0276970360075703, 'power_on_drag': 0.9904639248886221, 'nose_distance_to_CM': 1.1968327459709809, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 88.16507163624112, 'heading': 88.35097388637057, 'cd_s_drogue': 0.3214793400050181, 'cd_s_light': 16.07093896071464, 'lag_rec': 0.0888882644172985, 'lag_se': 0.05383162014803769, 'temperature': 299.6804203494553, 'atmosphere_pressure': 85209.4178166266, 'wind_u_speed': 0.45053381380717217, 'wind_v_speed': -4.044745202773254}

{'rocket_mass': 16.40057238489497, 'rocket_inertia_11': 0.7639505353488396, 'rocket_inertia_33': 0.01640811422557649, 'motor_dry_mass': 4.336902896750547, 'motor_inertia_11': 0.020614500733677488, 'motor_inertia_33': 0.21167744799484775, 'motor_dry_mass_position': 0.5296540803041411, 'impulse': 9184.481081813674, 'burn_time': 2.2207913321130692, 'nozzle_radius': 0.039142564966373146, 'throat_radius': 0.014344577935195894, 'grain_separation': 0.0006938160726784684, 'grain_density': 1505.094571794469, 'grain_outer_radius': 0.0410563074421789, 'grain_initial_inner_radius': 0.02150534442342032, 'grain_initial_height': 0.15234571571645047, 'radius': 0.07787662379515013, 'nozzle_position': -1.107188134229819, 'grains_center_of_mass_position': -3.070287038286162, 'power_off_drag': 1.0648418169728497, 'power_on_drag': 1.0911176987746969, 'nose_distance_to_CM': 1.1982079505991388, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 88.85698911253193, 'heading': 89.03795365793388, 'cd_s_drogue': 0.2721776972608206, 'cd_s_light': 16.042268033569258, 'lag_rec': 0.048663024327692594, 'lag_se': 0.023583032014350896, 'temperature': 300.610442137842, 'atmosphere_pressure': 85686.88454233712, 'wind_u_speed': 0.4317826005384587, 'wind_v_speed': -4.731445191885861}

{'rocket_mass': 16.398618502871887, 'rocket_inertia_11': 0.8425627359202708, 'rocket_inertia_33': 0.0164101965300744, 'motor_dry_mass': 4.335966848951014, 'motor_inertia_11': -0.008549733271749054, 'motor_inertia_33': 0.2116715233436904, 'motor_dry_mass_position': 0.528470068949266, 'impulse': 9185.443363320326, 'burn_time': 2.734488660841012, 'nozzle_radius': 0.03929650078072924, 'throat_radius': 0.014794926900535995, 'grain_separation': 0.0004319895843014838, 'grain_density': 1501.2098552271493, 'grain_outer_radius': 0.0410747674178558, 'grain_initial_inner_radius': 0.021717016028810873, 'grain_initial_height': 0.1522205419562776, 'radius': 0.07645075678057235, 'nozzle_position': -1.1099824568931935, 'grains_center_of_mass_position': -3.070259223416265, 'power_off_drag': 1.01531561215499, 'power_on_drag': 0.9760313616964683, 'nose_distance_to_CM': 1.1982532824752457, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 88.20503146814077, 'heading': 92.4422315271079, 'cd_s_drogue': 0.24984859176066998, 'cd_s_light': 16.07911009633873, 'lag_rec': 0.16815984233581915, 'lag_se': 0.050914342436237804, 'temperature': 303.14275976635054, 'atmosphere_pressure': 85996.92974028194, 'wind_u_speed': 0.4080979355629526, 'wind_v_speed': -5.104062740715959}

{'rocket_mass': 16.400615460384834, 'rocket_inertia_11': 0.865090771982977, 'rocket_inertia_33': 0.016435269602237554, 'motor_dry_mass': 4.336819436872055, 'motor_inertia_11': 0.0030191288252655506, 'motor_inertia_33': 0.21166611897375268, 'motor_dry_mass_position': 0.5287562154688015, 'impulse': 9191.992154316424, 'burn_time': 2.475203995577024, 'nozzle_radius': 0.04003601298689004, 'throat_radius': 0.01475349156145722, 'grain_separation': 0.00023359013921479325, 'grain_density': 1501.3362825213464, 'grain_outer_radius': 0.04111685853487819, 'grain_initial_inner_radius': 0.022802698959544912, 'grain_initial_height': 0.1520558634820322, 'radius': 0.07643734335370339, 'nozzle_position': -1.1084008854660525, 'grains_center_of_mass_position': -3.0702917105431418, 'power_off_drag': 0.9731704467727121, 'power_on_drag': 0.994073831092391, 'nose_distance_to_CM': 1.198577840895768, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 89.86531240095182, 'heading': 88.45746287861063, 'cd_s_drogue': 0.2811207138276535, 'cd_s_light': 16.077926475719384, 'lag_rec': 0.07710174600494143, 'lag_se': 0.08167931719174432, 'temperature': 304.01419333216865, 'atmosphere_pressure': 85904.92823228019, 'wind_u_speed': 0.49477957510891984, 'wind_v_speed': -4.332741087399805}
